3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the B electronic state of molecular hydrogen
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
#vib	J	Diss prob	Kin Ener (eV)
0	0	7.28E+00	6.02E-02
0	1	8.03E+00	6.69E-02
0	2	9.59E+00	6.84E-02
0	3	1.22E+01	6.29E-02
0	4	1.59E+01	7.95E-02
0	5	1.81E+01	8.11E-02
0	6	2.23E+01	1.02E-01
0	7	3.46E+01	8.95E-02
0	8	6.66E+01	8.54E-02
0	9	1.40E+02	9.56E-02
0	10	4.14E+02	8.29E-02
0	11	4.55E+02	1.26E-01
0	12	1.92E+03	8.72E-03
0	13	3.77E+03	9.58E-02
0	14	6.13E+03	5.81E-02
0	15	1.01E+04	1.42E-01
0	16	1.63E+04	1.74E-02
0	17	1.72E+05	1.08E-01
0	18	1.38E+05	1.05E-01
0	19	5.09E+05	1.17E-01
0	20	9.52E+05	3.41E-02
0	21	1.15E+06	1.60E-01
0	22	1.48E+06	4.93E-03
0	23	4.68E+06	6.93E-03
0	24	1.06E+07	1.15E-02
0	25	1.03E+07	5.48E-03
1	0	1.17E+02	1.90E-01
1	1	1.33E+02	1.71E-01
1	2	1.86E+02	1.32E-01
1	3	3.41E+02	6.11E-02
1	4	8.30E+02	5.98E-02
1	5	1.40E+03	6.00E-02
1	6	2.46E+03	7.32E-02
1	7	4.07E+03	7.98E-02
1	8	4.47E+03	1.09E-01
1	9	7.95E+03	9.18E-02
1	10	2.24E+04	7.14E-02
1	11	3.44E+04	1.04E-01
1	12	7.62E+04	5.91E-03
1	13	7.88E+04	1.32E-01
1	14	2.80E+05	3.02E-02
1	15	8.54E+05	1.04E-01
1	16	6.74E+05	8.69E-02
1	17	2.61E+06	1.04E-01
1	18	4.46E+06	3.75E-02
1	19	8.41E+06	1.78E-01
1	20	6.48E+06	1.03E-02
1	21	3.32E+07	5.96E-02
1	22	4.67E+07	2.63E-02
1	23	3.19E+07	2.13E-02
1	24	2.47E+08	1.01E-01
1	25	1.48E+08	8.35E-02
2	0	2.14E+04	8.03E-02
2	1	2.18E+04	8.44E-02
2	2	2.21E+04	9.27E-02
2	3	2.18E+04	1.04E-01
2	4	2.09E+04	1.23E-01
2	5	2.19E+04	1.25E-01
2	6	3.04E+04	1.17E-01
2	7	1.04E+05	6.05E-02
2	8	1.47E+05	8.29E-02
2	9	2.57E+05	8.51E-02
2	10	3.13E+05	1.07E-01
2	11	4.65E+05	1.14E-01
2	12	2.51E+06	1.52E-02
2	13	2.38E+06	1.16E-01
2	14	4.65E+06	8.30E-02
2	15	8.34E+06	9.49E-02
2	16	1.25E+07	4.78E-02
2	17	2.04E+07	1.60E-01
2	18	1.82E+07	1.55E-02
2	19	1.77E+08	1.21E-01
2	20	1.04E+08	4.50E-02
2	21	2.46E+08	8.51E-02
2	22	3.89E+08	1.41E-01
2	23	2.76E+08	1.42E-01
2	24	5.56E+08	1.82E-01
2	25	5.37E+08	2.71E-01
3	0	2.06E+05	6.36E-02
3	1	2.36E+05	6.24E-02
3	2	3.05E+05	6.16E-02
3	3	4.29E+05	4.89E-02
3	4	6.48E+05	6.29E-02
3	5	7.73E+05	6.66E-02
3	6	9.64E+05	8.73E-02
3	7	1.01E+06	1.06E-01
3	8	1.31E+06	1.09E-01
3	9	2.05E+06	1.09E-01
3	10	5.74E+06	8.13E-02
3	11	5.56E+06	1.26E-01
3	12	1.41E+07	5.50E-03
3	13	2.07E+07	1.03E-01
3	14	2.72E+07	6.68E-02
3	15	3.78E+07	1.50E-01
3	16	4.16E+07	2.40E-02
3	17	2.45E+08	1.07E-01
3	18	1.64E+08	6.27E-02
3	19	5.10E+08	1.29E-01
3	20	4.70E+08	1.81E-01
3	21	4.99E+08	2.27E-01
3	22	5.34E+08	1.72E-01
3	23	5.58E+08	3.06E-01
3	24	5.61E+08	1.87E-01
3	25	5.54E+08	3.50E-01
4	0	1.92E+06	1.39E-01
4	1	1.85E+06	1.45E-01
4	2	1.77E+06	1.55E-01
4	3	1.81E+06	1.31E-01
4	4	2.72E+06	1.13E-01
4	5	3.97E+06	9.27E-02
4	6	6.58E+06	8.61E-02
4	7	1.30E+07	7.25E-02
4	8	1.35E+07	1.03E-01
4	9	2.08E+07	9.24E-02
4	10	3.29E+07	8.80E-02
4	11	4.21E+07	1.11E-01
4	12	7.73E+07	6.76E-03
4	13	6.62E+07	1.53E-01
4	14	1.53E+08	4.33E-02
4	15	2.90E+08	1.04E-01
