3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation quantum indices,
# and dissociation probability and energy (eV) for the C minus state.  
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# This is the C- state, which is elec = 5 in the internal bookkeeping.
#
# v  	J   	 diss tot(1/s) 	 mean_diss_KE(ev)
#0	0	2.88E-02	1.05E+00 //missing level 
0	1	2.88E-02	1.05E+00
0	2	2.94E-02	1.05E+00
0	3	3.00E-02	1.08E+00
0	4	3.02E-02	1.12E+00
0	5	2.97E-02	1.23E+00
0	6	2.84E-02	1.37E+00
0	7	2.69E-02	1.53E+00
0	8	2.57E-02	1.65E+00
0	9	2.49E-02	1.70E+00
0	10	2.49E-02	1.75E+00
0	11	2.75E-02	1.74E+00
0	12	3.00E-02	1.80E+00
0	13	3.34E-02	1.67E+00
0	14	8.51E-02	6.65E-01
0	15	3.33E-01	6.29E-02
0	16	2.76E+00	1.42E-01
0	17	3.73E+00	1.39E-01
0	18	3.37E+00	2.90E-01
0	19	1.57E+01	1.34E-02
0	20	4.10E+02	1.36E-01
0	21	5.86E+02	1.05E-01
0	22	5.36E+02	3.28E-01
0	23	1.72E+03	9.32E-03
0	24	1.04E+04	1.50E-02
0	25	6.24E+04	3.04E-01
#1	0	3.41E-02	9.57E-01 // missing level
1	1	3.41E-02	9.57E-01
1	2	3.80E-02	8.51E-01
1	3	4.47E-02	7.23E-01
1	4	5.56E-02	5.25E-01
1	5	7.52E-02	4.90E-01
1	6	8.77E-02	4.90E-01
1	7	9.81E-02	5.26E-01
1	8	1.16E-01	5.07E-01
1	9	8.19E-02	7.24E-01
1	10	6.66E-02	8.49E-01
1	11	9.31E-01	1.04E-01
1	12	3.27E+00	1.04E-01
1	13	2.45E+01	6.54E-02
1	14	3.41E+01	1.27E-01
1	15	3.53E+01	1.93E-01
1	16	4.69E+01	1.94E-01
1	17	2.64E+02	1.79E-02
1	18	3.70E+03	1.19E-01
1	19	4.84E+03	1.13E-01
1	20	4.17E+03	2.99E-01
1	21	1.32E+04	1.06E-02
1	22	6.62E+04	4.29E-02
1	23	3.83E+05	2.36E-01
1	24	2.61E+05	1.84E-03
1	25	1.86E+06	1.41E-02
#2	0	7.67E-01	1.91E-01 // missing level
2	1	7.67E-01	1.91E-01
2	2	8.18E-01	1.94E-01
2	3	8.76E-01	2.02E-01
2	4	9.02E-01	2.12E-01
2	5	8.25E-01	2.77E-01
2	6	7.50E-01	3.35E-01
2	7	1.48E+00	2.04E-01
2	8	1.22E+01	5.60E-02
2	9	3.08E+01	7.44E-02
2	10	6.94E+01	1.01E-01
2	11	2.07E+02	9.44E-02
2	12	2.17E+02	1.58E-01
2	13	1.89E+02	2.21E-01
2	14	6.24E+02	1.20E-01
2	15	2.62E+03	2.64E-02
2	16	1.91E+04	1.12E-01
2	17	2.22E+04	1.35E-01
2	18	1.90E+04	2.68E-01
2	19	6.46E+04	1.27E-02
2	20	1.27E+06	1.35E-01
2	21	1.32E+06	1.94E-01
2	22	9.34E+05	2.00E-01
2	23	4.72E+06	1.28E-02
2	24	1.34E+07	7.77E-03
