3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation quantum indices,
# and dissociation probability and energy (eV) for the C plus state.  
# Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# This is the C+ state, which is elec = 5 in the internal bookkeeping.
#
# v  	J   	 diss tot(1/s) 	 mean_diss_ KE(ev)
#0	0	1.63E+05	1.04E-01 // level missing and had to make up date
0	1	1.63E+05	1.04E-01
0	2	4.43E+05	1.10E-01
0	3	8.76E+05	1.17E-01
0	4	1.85E+06	1.34E-01
0	5	6.44E+06	1.45E-01
0	6	2.05E+08	1.74E-01
0	7	9.36E+06	2.02E-01
0	8	3.87E+06	2.50E-01
0	9	6.33E+06	3.02E-01
0	10	1.89E+08	3.28E-01
0	11	5.48E+06	3.72E-01
0	12	6.47E+06	7.21E-02
0	13	4.51E+07	4.63E-01
0	14	3.68E+06	5.03E-01
0	15	5.99E+07	6.31E-02
0	16	3.13E+06	6.09E-01
0	17	2.66E+07	6.65E-02
0	18	2.15E+06	7.02E-01
0	19	2.30E+08	5.18E-02
0	20	1.50E+06	8.10E-01
0	21	2.90E+06	8.70E-01
0	22	5.05E+06	4.88E-02
0	23	6.76E+05	9.31E-01
0	24	7.77E+05	3.52E-02
0	25	1.11E+07	8.48E-01
#1	0	4.61E+05	2.77E-01 // level missing - make up date
1	1	4.61E+05	2.77E-01
1	2	1.51E+06	2.91E-01
1	3	4.18E+06	3.04E-01
1	4	1.80E+07	3.30E-01
1	5	1.69E+08	3.48E-01
1	6	1.69E+07	3.75E-01
1	7	9.20E+06	3.66E-01
1	8	1.34E+07	3.96E-01
1	9	1.46E+08	4.28E-01
1	10	1.97E+07	4.73E-01
1	11	1.22E+07	5.19E-01
1	12	1.72E+08	5.51E-02
1	13	1.28E+07	5.96E-01
1	14	2.30E+07	6.31E-01
1	15	1.85E+07	4.21E-02
1	16	1.30E+07	7.29E-01
1	17	1.53E+07	5.06E-02
1	18	1.34E+07	8.13E-01
1	19	6.47E+06	3.85E-02
1	20	9.33E+07	8.92E-01
1	21	3.90E+06	9.21E-01
1	22	4.87E+06	3.56E-02
1	23	1.25E+08	8.87E-01
1	24	4.64E+06	3.89E-02
1	25	3.80E+06	1.26E-02
#2	0	1.86E+06	4.02E-01 // level missing - make up data
2	1	1.86E+06	4.02E-01
2	2	9.49E+06	4.11E-01
2	3	7.29E+07	4.15E-01
2	4	8.12E+07	4.40E-01
2	5	1.92E+07	4.65E-01
2	6	1.21E+07	5.02E-01
2	7	1.77E+07	5.12E-01
2	8	1.03E+08	5.44E-01
2	9	4.32E+07	5.72E-01
2	10	1.86E+07	6.05E-01
2	11	7.20E+07	6.44E-01
2	12	3.59E+07	4.10E-02
2	13	2.19E+07	7.17E-01
2	14	1.15E+08	7.51E-01
2	15	1.60E+07	4.90E-02
2	16	1.65E+08	8.36E-01
2	17	1.33E+07	4.00E-02
2	18	5.85E+07	9.00E-01
2	19	1.56E+07	5.58E-02
2	20	1.10E+07	9.16E-01
2	21	1.81E+08	1.03E+00
2	22	1.17E+07	3.31E-02
2	23	1.25E+07	3.36E-02
2	24	1.82E+07	4.84E-03
2	25	1.48E+08	2.45E-01
#3	0	1.49E+08	5.62E-01  //level missing make up data
3	1	1.49E+08	5.62E-01
3	2	6.33E+07	5.67E-01
3	3	2.28E+07	5.58E-01
3	4	1.42E+07	5.70E-01
3	5	1.30E+07	5.85E-01
3	6	2.06E+07	6.11E-01
3	7	9.60E+07	6.33E-01
3	8	6.77E+07	6.71E-01
3	9	2.44E+07	6.96E-01
3	10	5.11E+07	7.23E-01
3	11	9.00E+07	7.59E-01
3	12	2.63E+07	4.87E-02
3	13	1.52E+08	8.20E-01
3	14	2.69E+07	8.51E-01
3	15	7.55E+07	3.94E-02
3	16	2.51E+07	8.40E-01
3	17	9.80E+07	5.17E-02
3	18	1.80E+07	8.95E-01
3	19	1.23E+08	4.57E-02
3	20	2.63E+07	2.76E-01
3	21	2.97E+07	3.32E-01
3	22	8.58E+07	1.55E-02
3	23	6.47E+07	9.29E-02
3	24	2.86E+08	1.07E-01
3	25	2.14E+08	1.13E-01
#4	0	3.23E+06	6.96E-01  // level missing make up data
4	1	3.23E+06	6.96E-01
4	2	5.94E+06	7.03E-01
4	3	7.78E+06	6.94E-01
4	4	1.11E+07	7.02E-01
4	5	2.21E+07	7.08E-01
4	6	1.02E+08	7.23E-01
4	7	8.27E+07	7.44E-01
4	8	2.90E+07	7.71E-01
4	9	4.32E+07	7.97E-01
4	10	1.82E+08	8.31E-01
4	11	3.45E+07	8.56E-01
4	12	7.01E+07	3.69E-02
4	13	6.02E+07	8.95E-01
4	14	4.07E+07	8.44E-01
4	15	8.03E+07	4.64E-02
4	16	3.93E+07	8.67E-01
4	17	5.61E+07	4.98E-02
4	18	6.50E+07	4.52E-01
4	19	8.60E+07	1.30E-01
4	20	1.52E+08	2.57E-01
4	21	2.26E+08	1.32E-01
4	22	3.97E+08	1.21E-01
4	23	3.12E+08	1.44E-01
4	24	7.30E+08	1.82E-01
#5	0	1.49E+06	7.93E-01  //level missing make up data
5	1	1.49E+06	7.93E-01
5	2	4.14E+06	8.04E-01
5	3	8.91E+06	7.90E-01
5	4	2.44E+07	8.03E-01
5	5	1.27E+08	8.12E-01
5	6	7.78E+07	8.22E-01
5	7	3.11E+07	8.29E-01
5	8	3.90E+07	8.52E-01
5	9	1.97E+08	8.84E-01
5	10	4.91E+07	8.97E-01
5	11	4.85E+07	9.24E-01
5	12	1.60E+08	4.84E-02
5	13	4.56E+07	8.19E-01
5	14	2.12E+08	9.35E-01
5	15	5.23E+07	6.45E-02
5	16	2.26E+08	8.74E-01
5	17	1.17E+08	1.11E-01
5	18	1.55E+08	1.87E-01
5	19	5.46E+08	1.09E-01
5	20	4.88E+08	1.65E-01
5	21	6.40E+08	2.36E-01
5	22	6.96E+08	1.56E-01
5	23	7.68E+08	3.25E-01
#6	0	2.83E+06	6.65E-01 //level missing make up data
6	1	2.83E+06	6.65E-01
6	2	9.05E+06	8.10E-01
6	3	3.36E+07	8.51E-01
6	4	2.02E+08	8.87E-01
6	5	5.73E+07	8.96E-01
6	6	2.87E+07	8.98E-01
6	7	3.45E+07	9.09E-01
6	8	1.29E+08	9.42E-01
6	9	7.78E+07	8.77E-01
6	10	5.42E+07	7.58E-01
6	11	1.74E+08	9.32E-01
6	12	7.50E+07	6.09E-02
6	13	1.08E+08	7.37E-01
6	14	1.18E+08	3.40E-01
6	15	1.55E+08	8.90E-02
6	16	1.57E+08	1.22E-01
6	17	6.02E+08	9.12E-02
6	18	5.57E+08	1.72E-01
6	19	7.08E+08	1.46E-01
6	20	7.19E+08	3.17E-01
6	21	7.81E+08	3.02E-01
#7	0	1.26E+07	8.59E-01 //level missing make up data
7	1	1.26E+07	8.59E-01
7	2	9.15E+07	9.37E-01
7	3	1.07E+08	9.10E-01
7	4	4.13E+07	8.28E-01
7	5	3.14E+07	7.17E-01
7	6	2.74E+07	6.98E-01
7	7	1.03E+08	8.25E-01
7	8	1.36E+08	8.14E-01
7	9	8.08E+07	5.60E-01
7	10	1.29E+08	6.53E-01
7	11	1.55E+08	7.02E-01
7	12	2.10E+08	6.59E-02
7	13	3.29E+08	6.84E-01
7	14	4.34E+08	1.13E-01
7	15	7.72E+08	1.20E-01
7	16	6.03E+08	1.75E-01
7	17	7.30E+08	1.26E-01
7	18	7.54E+08	2.81E-01
7	19	8.11E+08	1.67E-01
#8	0	7.15E+07	4.88E-01 //level missing make up data
8	1	7.15E+07	4.88E-01
8	2	6.78E+07	4.08E-01
8	3	6.63E+07	3.16E-01
8	4	7.09E+07	3.07E-01
8	5	7.87E+07	3.28E-01
