#Temp	LTE cooling per molecule	Net cooling per molecule
3.34965e+00	8.19914e-90	-1.10821e-30
3.54813e+00	4.08712e-86	-1.13435e-30
3.75837e+00	1.26539e-82	-1.16025e-30
3.98107e+00	2.49897e-79	-1.18585e-30
4.21697e+00	3.22810e-76	-1.21110e-30
4.46684e+00	2.79315e-73	-1.23599e-30
4.73151e+00	1.65554e-70	-1.26046e-30
5.01187e+00	6.86557e-68	-1.28449e-30
5.30884e+00	2.03226e-65	-1.30805e-30
5.62341e+00	4.37560e-63	-1.33111e-30
5.95662e+00	6.97575e-61	-1.35365e-30
6.30957e+00	8.37399e-59	-1.37566e-30
6.68344e+00	7.69054e-57	-1.39710e-30
7.07946e+00	5.48494e-55	-1.41797e-30
7.49894e+00	3.08120e-53	-1.43826e-30
7.94328e+00	1.38165e-51	-1.45795e-30
8.41395e+00	5.00827e-50	-1.47705e-30
8.91251e+00	1.48507e-48	-1.49554e-30
9.44061e+00	3.64304e-47	-1.51342e-30
1.00000e+01	7.47203e-46	-1.53069e-30
1.05925e+01	1.29426e-44	-1.54262e-30
1.12202e+01	1.91127e-43	-1.55384e-30
1.18850e+01	2.42779e-42	-1.56436e-30
1.25893e+01	2.67516e-41	-1.57419e-30
1.33352e+01	2.57743e-40	-1.58335e-30
1.41254e+01	2.18767e-39	-1.59184e-30
1.49624e+01	1.64745e-38	-1.59970e-30
1.58489e+01	1.10809e-37	-1.60694e-30
1.67880e+01	6.69884e-37	-1.61360e-30
1.77828e+01	3.66153e-36	-1.61970e-30
1.88365e+01	1.81961e-35	-1.62527e-30
1.99526e+01	8.26463e-35	-1.63034e-30
2.11349e+01	3.44763e-34	-1.63482e-30
2.23872e+01	1.32697e-33	-1.63827e-30
2.37137e+01	4.73262e-33	-1.63909e-30
2.51189e+01	1.57022e-32	-1.63226e-30
2.66073e+01	4.86452e-32	-1.60352e-30
2.81838e+01	1.41195e-31	-1.51537e-30
2.98538e+01	3.85182e-31	-1.27617e-30
3.16228e+01	9.90489e-31	-6.79579e-31
3.34965e+01	2.40743e-30	7.26762e-31
3.54813e+01	5.54482e-30	3.85278e-30
3.75837e+01	1.21314e-29	1.04271e-29
3.98107e+01	2.52725e-29	2.35549e-29
4.21697e+01	5.02474e-29	4.85157e-29
4.46684e+01	9.55730e-29	9.38262e-29
4.73151e+01	1.74331e-28	1.72569e-28
5.01187e+01	3.05742e-28	3.03963e-28
5.30884e+01	5.16983e-28	5.15187e-28
5.62341e+01	8.45363e-28	8.43550e-28
5.95662e+01	1.34117e-27	1.33934e-27
6.30957e+01	2.07183e-27	2.06999e-27
6.68344e+01	3.12855e-27	3.12669e-27
7.07946e+01	4.63696e-27	4.63508e-27
7.49894e+01	6.77393e-27	6.77204e-27
7.94328e+01	9.79299e-27	9.79109e-27
8.41395e+01	1.40605e-26	1.40586e-26
8.91251e+01	2.01046e-26	2.01027e-26
9.44061e+01	2.86784e-26	2.86764e-26
1.00000e+02	4.08359e-26	4.08339e-26
1.05925e+02	5.80211e-26	5.80191e-26
1.12202e+02	8.21653e-26	8.21633e-26
1.18850e+02	1.15790e-25	1.15788e-25
1.25893e+02	1.62113e-25	1.62111e-25
1.33352e+02	2.25154e-25	2.25152e-25
1.41254e+02	3.09842e-25	3.09840e-25
1.49624e+02	4.22139e-25	4.22137e-25
1.58489e+02	5.69185e-25	5.69183e-25
1.67880e+02	7.59507e-25	7.59505e-25
1.77828e+02	1.00333e-24	1.00332e-24
1.88365e+02	1.31302e-24	1.31302e-24
1.99526e+02	1.70381e-24	1.70381e-24
2.11349e+02	2.19474e-24	2.19473e-24
2.23872e+02	2.81000e-24	2.80999e-24
2.37137e+02	3.58067e-24	3.58067e-24
2.51189e+02	4.54691e-24	4.54690e-24
2.66073e+02	5.76049e-24	5.76048e-24
2.81838e+02	7.28792e-24	7.28790e-24
2.98538e+02	9.21393e-24	9.21391e-24
3.16228e+02	1.16458e-23	1.16458e-23
3.34965e+02	1.47187e-23	1.47187e-23
3.54813e+02	1.86035e-23	1.86034e-23
3.75837e+02	2.35181e-23	2.35179e-23
3.98107e+02	2.97455e-23	2.97451e-23
4.21697e+02	3.76635e-23	3.76628e-23
4.46684e+02	4.77918e-23	4.77903e-23
4.73151e+02	6.08650e-23	6.08622e-23
5.01187e+02	7.79445e-23	7.79391e-23
5.30884e+02	1.00579e-22	1.00569e-22
5.62341e+02	1.31033e-22	1.31014e-22
5.95662e+02	1.72585e-22	1.72553e-22
6.30957e+02	2.29924e-22	2.29870e-22
6.68344e+02	3.09624e-22	3.09534e-22
7.07946e+02	4.20709e-22	4.20565e-22
7.49894e+02	5.75291e-22	5.75065e-22
7.94328e+02	7.89247e-22	7.88900e-22
8.41395e+02	1.08292e-21	1.08241e-21
8.91251e+02	1.48178e-21	1.48106e-21
9.44061e+02	2.01703e-21	2.01607e-21
1.00000e+03	2.72615e-21	2.72486e-21
1.05925e+03	3.65323e-21	3.65163e-21
1.12202e+03	4.84928e-21	4.84731e-21
1.18850e+03	6.37236e-21	6.37003e-21
1.25893e+03	8.28757e-21	8.28542e-21
1.33352e+03	1.06670e-20	1.06658e-20
1.41254e+03	1.35899e-20	1.35893e-20
1.49624e+03	1.71420e-20	1.71418e-20
1.58489e+03	2.14164e-20	2.14163e-20
1.67880e+03	2.65129e-20	2.65131e-20
1.77828e+03	3.25389e-20	3.25393e-20
1.88365e+03	3.96096e-20	3.96103e-20
1.99526e+03	4.78487e-20	4.78504e-20
2.11349e+03	5.73900e-20	5.73936e-20
